,0,1
110,hfm=1.5_bcm=8.0_bksm=0.2_lscm=1.0_clem=1.5_pft=0.3_kde=25.0_characters.txt,222
142,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.75_clem=1.0_pft=0.3_kde=25.0_characters.txt,222
146,hfm=1.5_bcm=8.0_bksm=0.2_lscm=1.0_clem=1.5_pft=0.5_kde=25.0_characters.txt,222
162,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.6_clem=2.25_pft=0.5_kde=25.0_characters.txt,223
87,hfm=1.5_bcm=8.0_bksm=0.2_lscm=1.0_clem=1.5_pft=0.8_kde=25.0_characters.txt,223
103,hfm=1.5_bcm=8.0_bksm=0.3_lscm=1.0_clem=1.5_pft=0.3_kde=25.0_characters.txt,223
75,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.6_clem=2.25_pft=0.3_kde=25.0_characters.txt,223
106,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.6_clem=2.25_pft=0.8_kde=25.0_characters.txt,223
63,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.6_clem=1.0_pft=0.5_kde=25.0_characters.txt,224
1,hfm=1.5_bcm=8.0_bksm=0.45_lscm=1.0_clem=1.5_pft=0.3_kde=25.0_characters.txt,224
88,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.75_clem=1.0_pft=0.8_kde=25.0_characters.txt,224
137,hfm=1.5_bcm=8.0_bksm=0.3_lscm=1.0_clem=1.5_pft=0.5_kde=25.0_characters.txt,225
78,hfm=1.5_bcm=8.0_bksm=0.3_lscm=1.0_clem=1.5_pft=0.8_kde=25.0_characters.txt,225
204,hfm=1.5_bcm=12.0_bksm=0.2_lscm=0.6_clem=1.5_pft=0.8_kde=25.0_characters.txt,225
26,hfm=1.5_bcm=12.0_bksm=0.2_lscm=0.75_clem=1.0_pft=0.3_kde=25.0_characters.txt,225
15,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.75_clem=2.25_pft=0.3_kde=25.0_characters.txt,225
240,hfm=1.5_bcm=12.0_bksm=0.2_lscm=0.6_clem=1.5_pft=0.3_kde=25.0_characters.txt,225
42,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.75_clem=2.25_pft=0.8_kde=25.0_characters.txt,225
219,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.75_clem=2.25_pft=0.5_kde=25.0_characters.txt,225
25,hfm=1.5_bcm=12.0_bksm=0.2_lscm=0.6_clem=1.5_pft=0.5_kde=25.0_characters.txt,225
241,hfm=1.5_bcm=8.0_bksm=0.3_lscm=1.0_clem=2.25_pft=0.5_kde=25.0_characters.txt,226
49,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.6_clem=1.0_pft=0.3_kde=25.0_characters.txt,226
60,hfm=1.5_bcm=8.0_bksm=0.3_lscm=1.0_clem=2.25_pft=0.8_kde=25.0_characters.txt,226
36,hfm=1.5_bcm=8.0_bksm=0.45_lscm=1.0_clem=1.5_pft=0.8_kde=25.0_characters.txt,226
216,hfm=1.5_bcm=8.0_bksm=0.45_lscm=1.0_clem=1.5_pft=0.5_kde=25.0_characters.txt,226
29,hfm=1.5_bcm=8.0_bksm=0.3_lscm=1.0_clem=2.25_pft=0.3_kde=25.0_characters.txt,226
169,hfm=1.5_bcm=12.0_bksm=0.2_lscm=0.6_clem=2.25_pft=0.3_kde=25.0_characters.txt,227
218,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.6_clem=1.5_pft=0.3_kde=25.0_characters.txt,227
143,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.75_clem=1.0_pft=0.5_kde=25.0_characters.txt,227
182,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.6_clem=1.5_pft=0.8_kde=25.0_characters.txt,227
138,hfm=1.5_bcm=12.0_bksm=0.2_lscm=0.6_clem=2.25_pft=0.8_kde=25.0_characters.txt,227
0,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.6_clem=1.5_pft=0.5_kde=25.0_characters.txt,227
82,hfm=1.5_bcm=12.0_bksm=0.2_lscm=0.6_clem=2.25_pft=0.5_kde=25.0_characters.txt,227
51,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.75_clem=1.0_pft=0.8_kde=25.0_characters.txt,228
64,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.6_clem=2.25_pft=0.3_kde=25.0_characters.txt,229
